post,tags
getting directory of program when called from a different application  i have program1 on my desktop. program1 is supposed to open program2. i have program2 in \folder1\folder2.     so everything looks like this:    program 1 = on desktop    program 2 = \folder1\folder2\program2.exe    i m using this code in program1 to open program2:   <pre><code> process.start( z:\folder1\folder2\program2.exe ) </code></pre>   so  once program2 is open  it is find the path of a file that s contained in folder1 using this code:   <pre><code> dim path as string= system.io.directory.getparent(environment.currentdirectory).tostring() </code></pre>   so we open program1. program1 opens program2. program2 opens a file one directory down  in folder1.    when i execute program2 directly  everything works. however  when i launch program1  it opens program2 which for whatever reason  thinks that the directory is that of program1.    any ideas,.net
same average function c++  i m trying to compare averages of an array and to detect if there is any similar averages  for example if i have these averages 25 30 70 30 60 so the function should return true because 30 is twice there  but it seems what i m doing is wrong    <pre><code>bool sameaverage(student array[] int size) {     bool issame=false;      for (int i=0;i&lt;size;i++)     {         for (int j=0;j&lt;size;j++)         {             if (array[i].getaveragegrade==array[j].getaveragegrade)                 issame=true;         }      }      return issame; } </code></pre>   it is showing me a red line under the dot operator,c++
why should this test ever pass  so confused  im following along hartl s ror tutorial and came across the following test code in ch.6  which is not making sense:   <pre><code>require  test_helper   class usertest &lt; activesupport::testcase    def setup     @user = user.new(name:  example user   email:  user@example.com )   end    test  should be valid  do     assert @user.valid    end    test  name should be present  do     @user.name =             assert_not @user.valid    end end </code></pre>   focusing on the last test  name should be present   the @user.name variable is being assigned blank spaces. so wont that make the test fail  no matter what      secondly  what is assert_not  assert is something like  check if this is true .  so assert_not is  check if its false       so the above test is doing the following    <ol> <li> @name is made to be blank spaces </li> <li> check if @name is invalid  </li> <li> yes it is invalid because @name was made to blank spaces in step 1.  </li> </ol>   so confused....,ruby-on-rails
populate a collection select from available locales rails 5  i have a form where i would like users to be able to select the interface language but i want this to get populated from the available locales like the following.    <a href= https://i.stack.imgur.com/iz3vw.png  rel= nofollow noreferrer ><img src= https://i.stack.imgur.com/iz3vw.png  alt= enter image description here ></a>    here is what i have in the form.   <pre><code>  &lt;div class= field &gt;     &lt;%= f.label :locale %&gt;&lt;br /&gt;     &lt;%= f.collection_select :locale  :translated_locale  i18n.avilable_locales  :translated_locale %&gt;     &lt;/div&gt; </code></pre>   and here is the <code>translated_locale</code> method in <code>user</code> model   <pre><code> def translated_locale     i18n.t(locale)   end </code></pre>,ruby-on-rails
floating dynamic multi-line list items into two columns  i have a dynamic list that i need to lineup nicely into 2 columns using css and i m having a terrible time with it.    the markup similar to this:   <pre><code>&lt;ul&gt; &lt;li&gt;a is for apples&lt;/li&gt; &lt;li&gt;b is for bananas which are yellow in color&lt;/li  &lt;li&gt;c is for cupcakes&lt;/li&gt; .... &lt;/ul&gt; </code></pre>   when i simply give the li s a width and float them to the left they are clearing funny and end up formatted similar to this:   <pre><code>a is for apples        b is for bananas which                        are yellow in color c is for cupcakes      d is for dirtbag </code></pre>   i need the formatting to get the 3rd li directly under the first li - no matter the height of any one of the list items like this:   <pre><code>a is for apples        b is for bananas which c is for cupcake       are yellow in color d is for dirtbag </code></pre>   each li s text is being pulled from a database and i have no control over how long each is.    <em>clarification update</em> - the list may also come out of the database like so:   <pre><code>&lt;ul&gt; &lt;li&gt;a is for apples that grow on trees&lt;/li&gt; &lt;li&gt;b is for boat&lt;/li&gt; &lt;li&gt;c is for cupcakes&lt;/li&gt; &lt;li&gt;d is for dishes - that sure don t wash themselves&lt;/li&gt; .... &lt;/ul&gt; </code></pre>   requiring the formatting:   <pre><code>a is for apples that   b is for boat grow on trees          c is for cupcake d is for dishes -      e is..... that sure don t wash themselves </code></pre>   <em>/clarification</em>    <strong>my backup plan</strong>: the order is not particularly relevant so i have tried to split the list in half and print out the two columns in 2 separate <code>&lt;ul&gt;</code> s that floats left with a defined width but with each <code>&lt;li&gt;</code>having a variable height and the database returning between 2-15 items  using that method the bottom of the columns don t consistently look even. i d just rather find a better option if possible :/,css
layout nestedscrollview with recyclerview results in huge decrease in performance  i m using nestedscrollview in my app in order to have the toolbar hide when scrolling on a recyclerview. the problem is when i put the recyclerview inside the nestedscrollview the performance of the recyclerview is very bad  taking long to load and stuttering when scrolling.     here s my xml implementation of the fragment with the recyclerview.   <pre><code>&lt; xml version= 1.0  encoding= utf-8  &gt; &lt;relativelayout xmlns:android= http://schemas.android.com/apk/res/android  xmlns:app= http://schemas.android.com/apk/res-auto  android:layout_width= match_parent  android:layout_height= match_parent &gt;  &lt;android.support.v7.widget.toolbar     android:id= @+id/toolbar      android:layout_width= match_parent      android:layout_height= wrap_content      android:background=  attr/colorprimary      android:theme= @style/themeoverlay.appcompat.dark      android:elevation= 0dp      android:visibility= gone      app:popuptheme= @style/themeoverlay.appcompat.light      app:layout_scrollflags= scroll|enteralways /&gt;  &lt;android.support.v4.widget.nestedscrollview     android:isscrollcontainer= true      android:layout_width= match_parent      android:layout_height= match_parent      android:layout_below= @id/toolbar      android:background= @color/light_gray      app:layout_behavior= @string/appbar_scrolling_view_behavior &gt;      &lt;android.support.v7.widget.recyclerview         android:id= @+id/recyclerview          android:layout_width= match_parent          android:layout_height= match_parent          app:layout_behavior= @string/appbar_scrolling_view_behavior          android:clickable= true  /&gt;  &lt;/android.support.v4.widget.nestedscrollview&gt;  &lt;/relativelayout&gt; </code></pre>   this is fragment goes inside a viewpager. here s the other layout with the viewpager:   <pre><code>&lt; xml version= 1.0  encoding= utf-8  &gt; &lt;android.support.design.widget.coordinatorlayout xmlns:android= http://schemas.android.com/apk/res/android  xmlns:app= http://schemas.android.com/apk/res-auto  android:id= @+id/coordinatorlayout  android:layout_width= match_parent  android:layout_height= match_parent &gt;  &lt;android.support.design.widget.appbarlayout     android:id= @+id/appbar      android:layout_height= wrap_content      android:layout_width= match_parent      app:elevation= 0dp &gt;      &lt;android.support.v7.widget.toolbar         android:id= @+id/toolbar          android:layout_width= match_parent          android:layout_height= wrap_content          android:background=  attr/colorprimary          android:theme= @style/themeoverlay.appcompat.dark          android:elevation= 0dp          app:popuptheme= @style/themeoverlay.appcompat.light          app:layout_scrollflags= scroll|enteralways &gt;          &lt;textview             android:id= @+id/title              android:layout_width= fill_parent              android:layout_height=  attr/actionbarsize              android:layout_gravity= left|center_vertical              android:layout_weight= 1              android:gravity= left|center_vertical              android:text= @string/app_name              android:textappearance= @style/textappearance.widget.appcompat.toolbar.title              android:textcolor= @color/white              android:textsize= 18sp /&gt;      &lt;/android.support.v7.widget.toolbar&gt;  &lt;/android.support.design.widget.appbarlayout&gt;  &lt;android.support.v4.view.viewpager     android:id= @+id/pager      android:layout_below= @id/appbar      android:layout_width= match_parent      android:layout_height= wrap_content      app:layout_behavior= @string/appbar_scrolling_view_behavior &gt;      &lt;android.support.design.widget.tablayout         android:id= @+id/tabs          android:layout_width= match_parent          android:layout_height= wrap_content          android:background= @color/colorprimary          android:visibility= gone          app:tabindicatorcolor= @android:color/white          app:tabmode= scrollable          app:tabselectedtextcolor= @android:color/white          app:tabindicatorheight= 3dp          app:tabtextcolor= @color/white /&gt;  &lt;/android.support.v4.view.viewpager&gt;  &lt;progressbar     android:id= @+id/eventsprogress      android:layout_width= wrap_content      android:layout_height= wrap_content      android:layout_gravity= center /&gt;  &lt;framelayout     android:id= @+id/search_fragment_container      android:layout_width= match_parent      android:layout_height= match_parent      android:layout_margintop=  attr/actionbarsize      /&gt;  &lt;/android.support.design.widget.coordinatorlayout&gt; </code></pre>   removing the nestedscrollview and leaving the recyclerview alone results in much better performance but then i don t have the hiding toolbar.    am i doing something wrong,android
how to use addeventlistener()   queryselectorall and getelementsbyclassname for popup box  i would like to put a popup box on my website which have same id. those pop up boxes should be display after i clicked button. those buttons have same id.    my script code is   <pre><code>&lt;script type= text/javascript &gt;     // get modal element var modal = document.queryselectorall( .simplemodal ); // get open modal button var modalbtn = document.queryselectorall( .modalbtn ); // get close button var closebtn = document.queryselectorall( .closebtn )[0];  for (var i = 0; i &lt; modalbtn.length; i++) {        modalbtn[i].addeventlistener( click   openmodal);         // listen for close click        closebtn[i].addeventlistener( click   closemodal);        window.addeventlistener( click   outsideclick);     }  function openmodal(){   modal.style.display =  block ; }  // function to close modal function closemodal(){   modal.style.display =  none ; }  // function to close modal if outside click function outsideclick(e){   if(e.target == modal){     modal.style.display =  none ;   } } &lt;/script&gt; </code></pre>   my html code is below i mentioned this code using derived the data from database.   <pre><code>&lt; php echo &lt;a href= single.php &gt;&lt;img title=    alt=    src= images/$row2[pic] &gt;&lt;/a&gt;             &lt;p&gt;cookware&lt;/p&gt;             &lt;h4&gt;$ $row2[price] &lt;span&gt;$45.00&lt;/span&gt;&lt;/h4&gt;  &gt;         &lt;/div&gt;          &lt; php echo          &lt;button  class= modalbtn button &gt;details&lt;/button&gt;           &lt;div class= simplemodal modal &gt;             &lt;div class= modal-content &gt;               &lt;div class= modal-header &gt;                   &lt;span class= closebtn &gt;&amp;times;&lt;/span&gt;                  &lt;h2&gt;modal header&lt;/h2&gt;               &lt;/div&gt;               &lt;div class= modal-body &gt;                 &lt;p&gt;$row2[name]&lt;/p&gt;                 &lt;p&gt;$row2[description]&lt;/p&gt;               &lt;/div&gt;               &lt;div class= modal-footer &gt;                 &lt;h3&gt;modal footer&lt;/h3&gt;               &lt;/div&gt;             &lt;/div&gt;           &lt;/div&gt;     &lt;/div&gt;  &gt; </code></pre>   my html code   <pre><code>&lt;div class= agile_top_brands_grids &gt;                           &lt;div class= col-md-4 top_brand_left &gt;         &lt;div class= hover14 column &gt;             &lt;div class= agile_top_brand_left_grid &gt;                 &lt;div class= agile_top_brand_left_grid_pos &gt;                     &lt;img src= images/offer.png  alt=    class= img-responsive &gt;                 &lt;/div&gt;                 &lt;div class= agile_top_brand_left_grid1 &gt;                     &lt;figure&gt;                         &lt;div class= snipcart-item block &gt;                             &lt;div class= snipcart-thumb &gt;                                 &lt;a href= single.php &gt;&lt;img title=    alt=    src= images/c.png &gt;&lt;/a&gt;                                 &lt;p&gt;cookware&lt;/p&gt;                                 &lt;h4&gt;452&lt;span&gt;$45.00&lt;/span&gt;&lt;/h4&gt;  &gt;                             &lt;/div&gt;                              &lt;button id= modalbtn   class=  button &gt;details&lt;/button&gt;                               &lt;div id= simplemodal   class=  modal &gt;                                 &lt;div class= modal-content &gt;                                   &lt;div class= modal-header &gt;                                       &lt;span class= closebtn &gt;&amp;times;&lt;/span&gt;                                      &lt;h2&gt;modal header&lt;/h2&gt;                                   &lt;/div&gt;                                   &lt;div class= modal-body &gt;                                     &lt;p&gt;biscuit&lt;/p&gt;                                     &lt;p&gt;tasty food&lt;/p&gt;                                   &lt;/div&gt;                                   &lt;div class= modal-footer &gt;                                     &lt;h3&gt;modal footer&lt;/h3&gt;                                   &lt;/div&gt;                                 &lt;/div&gt;                               &lt;/div&gt;                                &lt;button id= modalbtn  class=  button &gt;details&lt;/button&gt;                               &lt;div id= simplemodal  class=  modal &gt;                                 &lt;div class= modal-content &gt;                                   &lt;div class= modal-header &gt;                                       &lt;span class= closebtn &gt;&amp;times;&lt;/span&gt;                                      &lt;h2&gt;modal header&lt;/h2&gt;                                   &lt;/div&gt;                                   &lt;div class= modal-body &gt;                                     &lt;p&gt;biscuit&lt;/p&gt;                                     &lt;p&gt;tasty food&lt;/p&gt;                                   &lt;/div&gt;                                   &lt;div class= modal-footer &gt;                                     &lt;h3&gt;modal footer&lt;/h3&gt;                                   &lt;/div&gt;                                 &lt;/div&gt;                               &lt;/div&gt;                                &lt;button id= modalbtn  class=  button &gt;details&lt;/button&gt;                               &lt;div id= simplemodal  class=  modal &gt;                                 &lt;div class= modal-content &gt;                                   &lt;div class= modal-header &gt;                                       &lt;span class= closebtn &gt;&amp;times;&lt;/span&gt;                                      &lt;h2&gt;modal header&lt;/h2&gt;                                   &lt;/div&gt;                                   &lt;div class= modal-body &gt;                                     &lt;p&gt;biscuit&lt;/p&gt;                                     &lt;p&gt;tasty food&lt;/p&gt;                                   &lt;/div&gt;                                   &lt;div class= modal-footer &gt;                                     &lt;h3&gt;modal footer&lt;/h3&gt;                                   &lt;/div&gt;                                 &lt;/div&gt;                               &lt;/div&gt;                                &lt;button id= modalbtn  class=  button &gt;details&lt;/button&gt;                               &lt;div id= simplemodal  class= modal &gt;                                 &lt;div class= modal-content &gt;                                   &lt;div class= modal-header &gt;                                       &lt;span class= closebtn &gt;&amp;times;&lt;/span&gt;                                      &lt;h2&gt;modal header&lt;/h2&gt;                                   &lt;/div&gt;                                   &lt;div class= modal-body &gt;                                     &lt;p&gt;biscuit&lt;/p&gt;                                     &lt;p&gt;tasty food&lt;/p&gt;                                   &lt;/div&gt;                                   &lt;div class= modal-footer &gt;                                     &lt;h3&gt;modal footer&lt;/h3&gt;                                   &lt;/div&gt;                                 &lt;/div&gt;                               &lt;/div&gt;                                &lt;button  id modalbtn  class=  button &gt;details&lt;/button&gt;                               &lt;div id= simplemodal  class=  modal &gt;                                 &lt;div class= modal-content &gt;                                   &lt;div class= modal-header &gt;                                       &lt;span class= closebtn &gt;&amp;times;&lt;/span&gt;                                      &lt;h2&gt;modal header&lt;/h2&gt;                                   &lt;/div&gt;                                   &lt;div class= modal-body &gt;                                     &lt;p&gt;biscuit&lt;/p&gt;                                     &lt;p&gt;tasty food&lt;/p&gt;                                   &lt;/div&gt;                                   &lt;div class= modal-footer &gt;                                     &lt;h3&gt;modal footer&lt;/h3&gt;                                   &lt;/div&gt;                                 &lt;/div&gt;                               &lt;/div&gt;                         &lt;/div&gt;                      &lt;/figure&gt;                 &lt;/div&gt;             &lt;/div&gt;         &lt;/div&gt;     &lt;/div&gt; &lt;/div&gt; </code></pre>,javascript
how to make a scrollable element fill 100% of the remaining height of a parent element   i have a container div that is a fixed height. it has some content and another child element. i would like the child element to scroll when it has filled the remaining height.    i came up with a solution that seems to work  but i m not sure it is correct.   <pre><code>&lt;style type= text/css &gt;   #container {height: 100px; width: 100px; border: solid; }   #titlebar { background: gray;}   #app-body {height: 100px; overflow: auto; background: lightblue;}     &lt;/style&gt; </code></pre>   working <a href= http://jsfiddle.net/fzhva/  rel= nofollow >fiddle</a>. <em>edit: updated fiddle to remove style tags.</em>    is there a better way  i don t like restating the container height in the child div.,css
saving the data after it was printed to screen python  is there a way to save data after it was printed to the screen   for example:  lets have some arbitrary function   <pre><code>def main():     if something:        for i in range(n):            output=  %f %f  %(n d)            print output      if something:        for i in range(n):            output= %f %f  %(n d)            print output      fileout=open( data.csv    a )     fileout.write(output) </code></pre>   this will only write the last data for the last range in for loop.    edit: i want to ask a user if she/he wants to save that data,python
which selector would be executed   css   <pre><code>#header #site_title_section { float: left; width: 300px;    margin-left: 30px; text-align: center;   #site_title_section #site_title { margin-top: 30px; padding: 10px 0; font-size: 40px;  color: #4379ab; font-weight: bold;     }   #site_title_section #salogon {  font-size: 14px;  margin-left: 20px;  color: #333333;   } </code></pre>   html   <pre><code>    &lt;div id= site_title_section &gt;          &lt;div id= site_title &gt;           professional         &lt;/div&gt;          &lt;div id= salogon &gt;             new media company&lt;/div&gt;         &lt;div class= cleaner &gt;&amp;nbsp;&lt;/div&gt;      &lt;/div&gt; </code></pre>   could someone help me understand this    from the css codes  site_title_section  has appeared three times so when called in html  codes which one would be executed,css
does android keep track of app uninstallations  does anyone know if android keeps track of installations and uninstallations of sideloaded apps anywhere apart from the log stream     want to be able to test if a package name has been recently uninstalled - but i imagine no such record is kept.    thanks,android
width: 100% issue  this kind of stuff has always eluded me.  i have a div that is as wide as the window (width: 100%)  that has a vertical javascript customized scrollbar within an iframe  also as wide and the scrollbar is 10px wide.  i just want the div to be 10px less than 100% so the scrollbar will show.  how does this happen   please let me know.  thanks!,css
how to split up integer value   how i can split up integer value like  3452  as 3 4 5 2 and assign each integer to an alphabet like  b = 3    g = 4    q = 5    u = 2  as we required and then merge these alphabets like  bgqu  and return this string and use it outside of function. please tell me if there is any option.,php
read data from buffer  how can i access the data from a buffer    <pre><code>int winapi mrecv( socket s  char *buf  int len  int flags ) {     // code to access the data from buffer } </code></pre>,c++
apply jquery function to multiple divs/elements with .click  hello very basic question    i have a number of divs (containing images) that i d like to apply the same scaling function to (with a .click). but i m not sure how to go about it. i think i need to use  .this  or  .target,jquery
sql select record with max non zero value if exists otherwise select record with zero value  what i would like to do is select a single record per unique timestamp within a given date range from my table.  if multiple records exist for the same timestamp i want to get the maximum non zero record  or if only zero valued records are returned i just want to return one of those zero valued records. the query i have been using  almost  works which is    <code>select timestamp  max(value) from mytable where *conditions*... group by [timestamp] order by [timestamp] asc;</code>    it obviously works well until the returned records are zero s and negative numbers  in which case it returns the zero record since it is greater than the negative records.  in that case i would want to return one of the negative value records rather than the zero record.  if i try to solve that by changing the where statement to   <pre><code>where [value] &lt;&gt; 0 </code></pre>   then i don t get anything if only zero valued records are returned.  my priority is returning a single greatest non zero valued record per timestamp  but if only zero valued records exists then just return one of those  and if only null records exist for the timestamp i would want a single null record returned.,mysql
how can i know and add an action to a dynamic number  javascript  i have a group of buttons (from 1 to 5). one button is the  winning number  and other one is  loser button     i want to get an alert with a winning number and a loser number generated  random     i m receiving the random numbers  but not receiving the alert if some button is clicked ( typeerror: document.getelementbyid(...) is null)    this is my code:   <pre><code>document.getelementbyid( newsorteo ).onclick = function() {     if (objpartida.iniciada) {         open( panels / newsorteo.html    new draw    scrollbars = yes  width = 700  height = 1000  toolbar = yes );     } else {         msg( error    you must start a game to access );         location.assign( index.html );     }      const numbers = document.getelementsbytagname( button );     let winnernumber = math.floor(math.random() * 5 + 1);     let losernumber = math.floor(math.random() * 5 + 1);     console.log( the winning number is the  + winningnumber);     console.log( the loser number is the  + losernumber);      for (let elemento of numbers) {         element.onclick = function() {             if (element[i] == winnernumber) {                 alert( winning number );             }             if (element[i] == losernumber) {                 alert( losernumber );             }         }     } } </code></pre>   <strong>html:</strong>   <pre><code>&lt;html lang= es &gt;  &lt;head&gt;     &lt;meta charset= utf-8 &gt;     &lt;title&gt;sorteo&lt;/title&gt;     &lt;link rel= stylesheet  type= text/css  href= ../css/style.css &gt; &lt;/head&gt;  &lt;body class= panel sorteo &gt;      &lt;h1&gt;¡bienvenido!&lt;/h1&gt;      &lt;p&gt;realiza un sorteo cada hora y podrás ganar 10.000$... ¡o un terrible terremoto!&lt;/p&gt;      &lt;h2&gt;¿a qué número apuestas &lt;/h2&gt;      &lt;button&gt;1&lt;/button&gt;     &lt;button&gt;2&lt;/button&gt;     &lt;button&gt;3&lt;/button&gt;     &lt;button&gt;4&lt;/button&gt;     &lt;button&gt;5&lt;/button&gt;      &lt;div id= alerta &gt;&lt;/div&gt;      &lt;script src= ../js/comun.js &gt;&lt;/script&gt;     &lt;script src= ../js/nuevosorteo.js &gt;&lt;/script&gt;   &lt;/body&gt; </code></pre>,javascript
how should i represent a (one (many a to many b) to many c) relationship in sql  using the following notation:   <ul> <li><code>a &gt;&lt; b</code> - many  a and b</li> <li><code>a &lt;= b</code> - one a to many b</li> </ul>   i would like to represent <code>(a &gt;&lt; b) &lt;= c</code>  i.e associating many cs with every link between a and b.    here re some ideas i ve had (warning: pseudocode)   <ol> <li> <strong>primary key pairs  duplicated</strong>   <pre><code>table abmap     primary foreign a_id     primary foreign b_id  table c     primary c_id     foreign a_id     foreign b_id     # more data </code></pre></li> <li> <strong>unique constraint on mapping</strong>   <pre><code>table abmap     primary ab_id     foreign a_id     foreign b_id     unique (a_id  b_id)  table c     primary c_id     foreign ab_id     # more data </code></pre></li> <li> <strong>unique constraint on mapping id</strong>   <pre><code>table abmap     auto_increment ab_id     primary foreign a_id     primary foreign b_id     unique (ab_id)  table c     primary c_id     foreign ab_id </code></pre></li> </ol>   which should i use  and why,sql
comparing 8 properties with 3 other properties and setting matches to nil  i have an object called brain    brain has 8 properties that contain an  animal  object.    brain.animal1  brain.animal2  animal3  ... brain.animal8    i then have three other properties called    brain.selectedanimal1  brain.selectedanimal2  brain.selectedanimal3    what i would like to do is loop through all of the 8 animal properties... and if one of those animal properties matches up with selectedanimal1 property  i want to set the animal property to nil.    i only want to set one animal property to nil (i.e. if two of the animal properties match the selectedanimal1 property i only want the first one to be set to nil  not both)    then i want to do the same loop but compare with selectedanimal2 and selectedanimal3 properties and set animal properties to nil if they match with a selectedanimal.    can anyone help with this    i m just not quite good enough yet with objective-c to get this to work without writing about 50 lines of code    so to recap...  i start with 8 animal properties and would like to end with 5 animal properties (3 being set to nil)    thanks in advance,objective-c
image manipulation using quartz2d <pre><code>cgsize cgs = cgsizemake(250.0  300.0);     uigraphicsbeginimagecontext(cgs);         cgrect rectangle = cgrectmake(0 0 cgs.width cgs.height);     uiimage *myimage = [uiimage imagenamed:@ bmw.jpg ];       [myimage drawinrect:rectangle];         [myimage release];      cgcontextref context = uigraphicsgetcurrentcontext();     cgcontextsetlinewidth(context  5.0);     cgcontextsetrgbstrokecolor(context  0.0  0.0  1.0  1.0);      cgcontextstrokerect(context  rectangle);      uiimage *testimg =  uigraphicsgetimagefromcurrentimagecontext();     uigraphicsendimagecontext();      [testimg drawatpoint:cgpointmake(35  10)]; </code></pre>   i want to give gap between image and rectangle borders in which image is drawn  like 5 on left 5 on top and 5 on right but around 30 on bottom because its the space for text that user will write and user can also select that he/she want text on top so in that case top gap will be 30 and bottom gap will be 5. here is the code it is inside subclass of uiview in drawrect method.    using this code border and image are tightly bound together  i am unable to give gap between border and image. any idea how can i do that     thanks in advance.    <img src= https://i.stack.imgur.com/erqru.png  alt= enter image description here >,ios
iterating over a set of pointers  in my current project  i have the following type of set:   <pre><code>typedef set&lt;itemptr&gt;            itemset; </code></pre>   where itemptr is this class:   <pre><code>class itemptr {     private:     item    *ptr;      public:     itemptr(item *ptr) : ptr(ptr) { }     item* getptr() const { return ptr; } }; </code></pre>   and the following sets:   <pre><code>itemset booklist; itemset movielist; itemset musicalbumlist; </code></pre>   which are all sets contained in a class called library.  each of these sets contain instances of itemptr  where each instance of itemptr contains a pointer to to an instance of book  movie  or musicalbum.  each of these are derived classes from a class called item.  an instance of book  contains an author  title  number of pages  and a set of keywords that are common to that book.  i have a function as such:   <pre><code>const itemset* library::itemsforkeyword(const string&amp; keyword) {     return null;  //need to put code in here } </code></pre>   that needs to return all items from each set that have the parameter in its list of keywords.  i am unsure how to iterate through each set  and access it s keywords  then compare them to the parameter of the above function.  how can i do such a comparison     here is my item class:   <pre><code>class item {     public:     string mtitle;     string martist;     item(const string&amp; title  const string&amp; artist);     item();     virtual ostream &amp;print(std::ostream &amp;os) const     {         os &lt;&lt;  author: \t  &lt;&lt; martist &lt;&lt; endl;         os &lt;&lt;  title: \t  &lt;&lt; mtitle &lt;&lt; endl;         return os;     }     virtual ~item();     set&lt;string&gt;  keywordslist;     void addkeywords(string keyword); }; </code></pre>   this is the addkeywords function:   <pre><code>void item::addkeywords(string keyword) { keywordslist.insert(keyword); } </code></pre>   and here is as far as i ve gotten thus far on writing the function i need:   <pre><code>const itemset* library::itemsforkeyword(const string&amp; keyword) { itemset temp;  for(it=booklist.begin();it!=booklist.end();it++){     if(it-&gt;getptr()-&gt;keywordslist)   }  return &amp;temp; } </code></pre>   i know that by referencing getptr with my iterator  it gives me access to keywordslist  but from that point i don t know how to examine the list to compare it to the passed in keyword.  my plan is to  after comparing and finding a match  store the instance in temp  then pass back temp with all the items that contained that keyword. thanks for the help thus far.,c++
is there a way to combine these 3 tables  (mysql)  i m creating a  flagged  func that flags users  postings  and comments.     i am currently using three tables:  flagged_users   flagged_postings  and  flagged_comments .     and in each table  there s: flagged_id  user_id/posting_id/comment_id  reason.    is there a way to combine into just one table  or is 3 tables the best,mysql
sample code for canceling the local notification in iphone  sample code for canceling the local notification.    i am having a application which  sets a local notification and  now i want to cancel one of the local notification  set the by the application can someone provide the sample code for the same,iphone
how to keep views in scrollview (that are inside a linear layout) that are not visible from being created   i have linear layout inside a scrollview  and i would like to keep those views which are not visible(which are inside the linear layout) from being created until they are either visible or near to being visible. like adjacent to one that is visible.  i don t know if for example if turning off visibility will keep the view from being created(in terms of resources)  or if gone could be used.     update: the reason i am asking this question is because scrolling is taking a heck of a long time when there are say 30 view elements in the linear layout.  these are not large view elements either  about what you would find for a record in a listview.  i should add that the whole scrollview is inside a fragment.    thanks,android
can i set a uiview hidden is true in the viewdidload()   i have designed a <code>uiview</code> in storyboard and the parent view is a tableview. but i want to set it hidden or unhidden depend on my decision.how can i do  get the view by tag  or any other method？ i put up the code:   <pre><code>uiview *myview=[[uiview alloc] viewwithtag:99]; myview.hidden=true; </code></pre>   but it does not work!,ios
background-position value manipulation  i have a project where i am building slides described inside of an xml file but it requires to allow image positioning of the slides based on offset values.     now i have y offsets down pat  only problem now is that i require the ability to offset something in the x by an amount but still keep the % age value behavior.    so basically is there anyway to have background-position s x start at 50% and then offset it by a pixel amount and keep the relative behavior of the % age( 50% + offsetinpixels),css
angular $resource only  put  got no  access-control-allow-origin  header  but  get  and  post  works well  i use swagger to call api it works (for  get    post  and  put )  but when i was trying to call api via $resource method:  put   it gives me options  and cannot make the call. is there someone who knows how to fix this  below attached code:   <pre><code>var data = $resource( url   {id:  @id }  { update: { method:  put }}); var modifyobject = function (obj) {     var deferred = $q.defer();     data.update({id: obj.id}  obj  function (data) {         deferred.resolve(data);     }  function (error) {         deferred.reject(error);     });     return deferred.promise; }; modifyobject(requestobj).then(function (data) {         console.log(data);     }      function (error) {         console.log(error);     } ); </code></pre>   attached the resolve and same issue: <a href= https://stackoverflow.com/questions/10636611/how-does-access-control-allow-origin-header-work >how does access-control-allow-origin header work </a>,angularjs
python - dir() - how can i differentiate between functions/method and simple attributes   <code>dir()</code> returns a list of all the defined names  but it is annoying to try to call function i see listed only to discover it is actually an attribute  or to try to access an attribute only to discover it is actually a callable.  how can i get <code>dir()</code> to be more informative,python
avaudioplayer regarding song overlapping  i have using avaudioplayer in my app but the problem is that when i play the song from list it will played while before stopping the song i am again goes to song list then select another song then both song will start playing simultaneously so please tell me the code which will terminate my first song.    i use flag variable for initializing the song file---   <pre><code>fileurl = [[nsurl alloc] initfileurlwithpath: [[nsbundle mainbundle] pathforresource:@  om namo  oftype:@ aac ]]; self._player = [[avaudioplayer alloc] initwithcontentsofurl:fileurl error:nil]; if (self._player) { _filename.text = [nsstring stringwithformat: @ %@ (%d ch.)   [[self._player.url relativepath] lastpathcomponent]  self._player.numberofchannels  nil]; [self updateviewforplayerinfo]; [self updateviewforplayerstate]; }  [fileurl release]; break;  play and push function---  - (void)startplayback {  if ([self._player play]) { //[self stop]; [self updateviewforplayerstate]; self._player.delegate = self; } else nslog(@ could not play %@\n   self._player.url); }  - (void)pauseplayback { [self._player pause]; [self updateviewforplayerstate]; } </code></pre>   i also make stop function---   <pre><code>-(void)stop { [_player release]; self._player=nil; } </code></pre>   please help me . is correct my stop function. and where i put our stop function or any other solution to fix this problem...,iphone
why my onload function is not working in javascript   i am working on api to generate random quotes. its working fine but i want to generate a random quotes as soon as page load.   <pre><code>document.getelementbyid( load ).addeventlistener( onload   loaddata); document.getelementbyid( getquote ).addeventlistener( click   loaddata);      function loaddata() {         const xhr = new xmlhttprequest();         xhr.open( get    https://talaikis.com/api/quotes/   true);         xhr.onload = function() {             if (this.status === 200) {                 const data = json.parse(this.responsetext);                 document.getelementbyid( quote-message ).innerhtml = `&lt;h1&gt;${data[0].quote}&lt;/h1&gt;`;                 document.getelementbyid( author ).innerhtml = `&lt;h3&gt;${data[0].author}&lt;/h3&gt;`;             }         }         xhr.send();     } </code></pre>,javascript
